id	creation	first_use	last_use	expiration	amount	count_use
4744534094796	2022-03-12	2022-03-31	2022-03-31	2024-03-31	0.00	1
4744559714693	2022-04-09			2024-04-30	0.00	0
4744611544176	2022-01-27	2022-01-30	2022-01-30	2024-01-31	0.00	1
4744615302055	2021-11-14			2023-11-30	16.00	0
4744847916761	2022-05-10			2024-05-31	13.00	0
4744956026092	2022-09-04	2022-09-20	2022-09-20	2024-09-30	0.00	2
4745071848293	2022-09-04			2024-09-30	16.00	0
4745073875600	2022-09-07			2024-09-30	0.00	0
4745110536617	2021-11-17			2023-11-30	12.00	0
4745347627287	2022-03-12	2022-05-08	2022-05-08	2024-03-31	0.00	1
4745360351091	2022-01-20			2024-01-31	16.00	0
4745434281248	2021-11-26			2023-11-30	40.00	0
4745469894468	2022-01-20			2024-01-31	16.00	0
4745496294613	2021-12-01	2022-05-06	2022-05-06	2023-12-31	0.00	1
4745499633440	2022-05-10	2022-11-13	2022-11-13	2024-05-31	0.00	1
4745500377288	2021-09-23			2023-09-30	16.00	0
4745523246844	2021-10-30			2023-10-31	12.00	0
4745755303803	2021-11-14	2021-11-27	2021-11-27	2023-11-30	0.00	1
4745830620177	2024-12-20			2026-12-31	16.00	0
4745851438324	2024-09-20			2026-09-30	32.00	0
4745868191311	2021-12-21			2023-12-31	16.00	0
4745931400333	2021-11-14	2021-11-27	2021-11-27	2023-11-30	0.00	1
4745996885458	2022-03-12	2022-03-31	2022-03-31	2024-03-31	0.00	1
4746070494542	2024-12-20			2026-12-31	16.00	0
4746227407197	2022-10-09			2024-10-31	50.00	0
4746239318573	2022-09-01			2024-09-30	0.00	0
4746397567776	2021-10-30			2023-10-31	16.00	0
4746432608402	2021-12-21			2023-12-31	16.00	0
4746437469183	2024-12-20	2025-01-10	2025-01-10	2026-12-31	0.00	2
4746447338516	2022-03-12			2024-03-31	12.00	0
4746524106700	2024-12-20	2025-01-10	2025-01-10	2026-12-31	0.00	1
4746524924403	2022-03-12			2024-03-31	12.00	0
4746568306197	2024-12-20			2026-12-31	16.00	0
4746632334200	2021-09-27	2022-05-07	2022-11-12	2023-09-30	0.00	3
4747009971745	2022-08-29			2024-08-31	0.00	0
4747110044659	2024-02-14	2024-03-17	2024-03-17	2026-02-28	0.00	10
4747202290025	2022-05-14			2024-05-31	12.00	0
4747338673860	2022-03-18			2024-03-31	12.00	0
4747384967753	2022-05-10	2022-11-13	2022-11-13	2024-05-31	0.00	1
4747621652978	2024-12-20			2026-12-31	16.00	0
4747757681675	2021-12-01			2023-12-31	12.00	0
4747794540270	2021-12-21			2023-12-31	16.00	0
4747839574901	2022-03-29			2024-03-31	16.00	0
4747863410725	2022-02-12			2024-02-29	16.00	0
4747873200835	2021-12-01	2022-12-16	2022-12-16	2023-12-31	0.00	1
4747912797036	2022-02-12			2024-02-29	16.00	0
4748067040619	2021-12-21			2023-12-31	16.00	0
4748104403629	2021-12-22			2023-12-31	12.00	0
4748298296656	2022-02-19			2024-02-29	16.00	0
4748469819448	2021-09-28			2023-09-30	12.00	0
4748662171459	2022-02-12			2024-02-29	16.00	0
4748760215567	2022-03-25			2024-03-31	32.00	0
4748859913435	2022-03-12			2024-03-31	12.00	0
4748903716883	2021-11-08			2023-11-30	40.00	0
4748918688045	2021-10-30			2023-10-31	16.00	0
4749138680536	2022-03-12	2022-05-08	2022-05-08	2024-03-31	0.00	1
4749209663215	2021-09-20			2023-09-30	16.00	0
4749572889175	2021-09-23			2023-09-30	16.00	0
4749593794083	2021-09-18			2023-09-30	32.00	0
4749598216955	2022-03-12			2024-03-31	16.00	0
4749752051798	2022-06-23			2024-06-30	0.00	0
4749809341964	2022-01-20			2024-01-31	16.00	0
4749876389807	2021-12-21			2023-12-31	16.00	0
